"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_3.nlogo"
"10-fish-weights"
"01/02/2025 16:53:06:162 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","max-turn","dolphin-communication-range","cohesion-weight","alignment-weight","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"105","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.1","359","0.2785515320334262","100","10","0"
"103","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.1","269","0.37174721189591076","100","10","0"
"106","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.3","397","0.2518891687657431","100","10","0"
"107","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.3","383","0.26109660574412535","100","10","0"
"108","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.3","320","0.3125","100","10","0"
"109","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.3","273","0.3663003663003663","100","10","0"
"110","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.3","424","0.2358490566037736","100","10","0"
"111","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.5","354","0.2824858757062147","100","10","0"
"113","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.5","306","0.32679738562091504","100","10","0"
"112","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.5","396","0.25252525252525254","100","10","0"
"114","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.5","243","0.411522633744856","100","10","0"
"115","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.5","348","0.28735632183908044","100","10","0"
"116","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.7","272","0.36764705882352944","100","10","0"
"117","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.7","402","0.24875621890547264","100","10","0"
"119","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.7","333","0.3003003003003003","100","10","0"
"118","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.7","405","0.24691358024691357","100","10","0"
"121","false","150","1.2","3","3","1","10","100","1","3","20","8","1","1","276","0.36231884057971014","100","10","0"
"122","false","150","1.2","3","3","1","10","100","1","3","20","8","1","1","216","0.46296296296296297","100","10","0"
"120","false","150","1.2","3","3","1","10","100","1","3","20","8","1","0.7","261","0.3831417624521073","100","10","0"
"123","false","150","1.2","3","3","1","10","100","1","3","20","8","1","1","293","0.3412969283276451","100","10","0"
"124","false","150","1.2","3","3","1","10","100","1","3","20","8","1","1","323","0.30959752321981426","100","10","0"
"125","false","150","1.2","3","3","1","10","100","1","3","20","8","1","1","243","0.411522633744856","100","10","0"
