"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"10-fish-weights-reproduction"
"01/01/2025 18:52:12:486 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","max-turn","cohesion-weight","alignment-weight","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"78","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.1","423","0.2695035460992908","114","11.4","0"
"79","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.1","416","0.27163461538461536","113","11.3","0"
"80","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.1","283","0.4134275618374558","117","11.7","0"
"81","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.3","412","0.2936893203883495","121","12.1","0"
"83","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.3","349","0.3237822349570201","113","11.3","0"
"82","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.3","330","0.3424242424242424","113","11.3","0"
"84","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.3","268","0.39925373134328357","107","10.7","0"
"85","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.3","364","0.31043956043956045","113","11.3","0"
"86","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.5","417","0.26139088729016785","109","10.9","0"
"87","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.5","374","0.2967914438502674","111","11.1","0"
"88","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.5","436","0.268348623853211","117","11.7","0"
"89","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.5","387","0.2971576227390181","115","11.5","0"
"91","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.7","323","0.3653250773993808","118","11.8","0"
"90","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.5","568","0.198943661971831","113","11.3","0"
"92","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.7","321","0.3582554517133956","115","11.5","0"
"93","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.7","390","0.2923076923076923","114","11.4","0"
"94","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.7","410","0.2926829268292683","120","12","0"
"95","true","150","1.2","3","3","1","10","100","1","3","20","0.7","0.7","345","0.3101449275362319","107","10.7","0"
"96","true","150","1.2","3","3","1","10","100","1","3","20","0.7","1","326","0.3374233128834356","110","11","0"
"97","true","150","1.2","3","3","1","10","100","1","3","20","0.7","1","631","0.1949286846275753","123","12.3","0"
"98","true","150","1.2","3","3","1","10","100","1","3","20","0.7","1","417","0.2685851318944844","112","11.2","0"
"100","true","150","1.2","3","3","1","10","100","1","3","20","0.7","1","392","0.30612244897959184","120","12","0"
"99","true","150","1.2","3","3","1","10","100","1","3","20","0.7","1","551","0.21960072595281308","121","12.1","0"
"101","true","150","1.2","3","3","1","10","100","1","3","20","1","0.1","348","0.31896551724137934","111","11.1","0"
"102","true","150","1.2","3","3","1","10","100","1","3","20","1","0.1","521","0.22456813819577734","117","11.7","0"
"103","true","150","1.2","3","3","1","10","100","1","3","20","1","0.1","385","0.2857142857142857","110","11","0"
"104","true","150","1.2","3","3","1","10","100","1","3","20","1","0.1","392","0.28316326530612246","111","11.1","0"
"105","true","150","1.2","3","3","1","10","100","1","3","20","1","0.1","356","0.30337078651685395","108","10.8","0"
"107","true","150","1.2","3","3","1","10","100","1","3","20","1","0.3","311","0.3504823151125402","109","10.9","0"
"106","true","150","1.2","3","3","1","10","100","1","3","20","1","0.3","555","0.21441441441441442","119","11.9","0"
"109","true","150","1.2","3","3","1","10","100","1","3","20","1","0.3","453","0.25386313465783666","115","11.5","0"
"108","true","150","1.2","3","3","1","10","100","1","3","20","1","0.3","390","0.3076923076923077","120","12","0"
"111","true","150","1.2","3","3","1","10","100","1","3","20","1","0.5","372","0.29838709677419356","111","11.1","0"
"110","true","150","1.2","3","3","1","10","100","1","3","20","1","0.3","566","0.2049469964664311","116","11.6","0"
"112","true","150","1.2","3","3","1","10","100","1","3","20","1","0.5","570","0.20526315789473684","117","11.7","0"
"113","true","150","1.2","3","3","1","10","100","1","3","20","1","0.5","412","0.279126213592233","115","11.5","0"
"114","true","150","1.2","3","3","1","10","100","1","3","20","1","0.5","446","0.25112107623318386","112","11.2","0"
"115","true","150","1.2","3","3","1","10","100","1","3","20","1","0.5","515","0.21941747572815534","113","11.3","0"
"118","true","150","1.2","3","3","1","10","100","1","3","20","1","0.7","417","0.2637889688249401","110","11","0"
"117","true","150","1.2","3","3","1","10","100","1","3","20","1","0.7","262","0.42366412213740456","111","11.1","0"
"120","true","150","1.2","3","3","1","10","100","1","3","20","1","0.7","387","0.2971576227390181","115","11.5","0"
"116","true","150","1.2","3","3","1","10","100","1","3","20","1","0.7","570","0.20877192982456141","119","11.9","0"
"119","true","150","1.2","3","3","1","10","100","1","3","20","1","0.7","438","0.2671232876712329","117","11.7","0"
"121","true","150","1.2","3","3","1","10","100","1","3","20","1","1","383","0.29765013054830286","114","11.4","0"
"122","true","150","1.2","3","3","1","10","100","1","3","20","1","1","347","0.3227665706051873","112","11.2","0"
"124","true","150","1.2","3","3","1","10","100","1","3","20","1","1","401","0.2942643391521197","118","11.8","0"
"123","true","150","1.2","3","3","1","10","100","1","3","20","1","1","411","0.2846715328467153","117","11.7","0"
"125","true","150","1.2","3","3","1","10","100","1","3","20","1","1","541","0.22181146025878004","120","12","0"
