"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_2.nlogo"
"10-fish-weights"
"01/01/2025 18:43:00:089 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","fish-reproduction","fish-reproduction-rate","speed-dolphin","dolphin-vision-range","fish-vision-range","speed-fish","initial-number-dolphins","initial-number-fish","fish-collision-range","fish-cohesion-range","max-turn","cohesion-weight","alignment-weight","[step]","sum [ fishes-eaten ] of dolphins / ticks","sum [ fishes-eaten ] of dolphins","mean [fishes-eaten] of dolphins","count fishes"
"78","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.1","302","0.33112582781456956","100","10","0"
"75","false","150","1.2","3","3","1","10","100","1","3","20","0.5","1","284","0.352112676056338","100","10","0"
"79","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.1","502","0.199203187250996","100","10","0"
"77","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.1","349","0.28653295128939826","100","10","0"
"81","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.3","504","0.1984126984126984","100","10","0"
"80","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.1","301","0.33222591362126247","100","10","0"
"82","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.3","345","0.2898550724637681","100","10","0"
"83","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.3","305","0.32786885245901637","100","10","0"
"84","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.3","352","0.2840909090909091","100","10","0"
"87","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.5","437","0.2288329519450801","100","10","0"
"85","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.3","286","0.34965034965034963","100","10","0"
"86","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.5","449","0.22271714922049","100","10","0"
"88","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.5","334","0.2994011976047904","100","10","0"
"89","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.5","236","0.423728813559322","100","10","0"
"91","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.7","295","0.3389830508474576","100","10","0"
"90","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.5","362","0.27624309392265195","100","10","0"
"92","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.7","350","0.2857142857142857","100","10","0"
"93","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.7","385","0.2597402597402597","100","10","0"
"74","false","150","1.2","3","3","1","10","100","1","3","20","0.5","1","371","0.2695417789757412","100","10","0"
"94","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.7","265","0.37735849056603776","100","10","0"
"97","false","150","1.2","3","3","1","10","100","1","3","20","0.7","1","286","0.34965034965034963","100","10","0"
"95","false","150","1.2","3","3","1","10","100","1","3","20","0.7","0.7","433","0.23094688221709006","100","10","0"
"98","false","150","1.2","3","3","1","10","100","1","3","20","0.7","1","280","0.35714285714285715","100","10","0"
"96","false","150","1.2","3","3","1","10","100","1","3","20","0.7","1","547","0.18281535648994515","100","10","0"
"99","false","150","1.2","3","3","1","10","100","1","3","20","0.7","1","439","0.22779043280182232","100","10","0"
"100","false","150","1.2","3","3","1","10","100","1","3","20","0.7","1","204","0.49019607843137253","100","10","0"
"101","false","150","1.2","3","3","1","10","100","1","3","20","1","0.1","245","0.40816326530612246","100","10","0"
"102","false","150","1.2","3","3","1","10","100","1","3","20","1","0.1","455","0.21978021978021978","100","10","0"
"103","false","150","1.2","3","3","1","10","100","1","3","20","1","0.1","322","0.3105590062111801","100","10","0"
"104","false","150","1.2","3","3","1","10","100","1","3","20","1","0.1","267","0.37453183520599254","100","10","0"
"106","false","150","1.2","3","3","1","10","100","1","3","20","1","0.3","304","0.32894736842105265","100","10","0"
"107","false","150","1.2","3","3","1","10","100","1","3","20","1","0.3","337","0.29673590504451036","100","10","0"
"105","false","150","1.2","3","3","1","10","100","1","3","20","1","0.1","329","0.303951367781155","100","10","0"
"108","false","150","1.2","3","3","1","10","100","1","3","20","1","0.3","234","0.42735042735042733","100","10","0"
"110","false","150","1.2","3","3","1","10","100","1","3","20","1","0.3","295","0.3389830508474576","100","10","0"
"109","false","150","1.2","3","3","1","10","100","1","3","20","1","0.3","325","0.3076923076923077","100","10","0"
"112","false","150","1.2","3","3","1","10","100","1","3","20","1","0.5","222","0.45045045045045046","100","10","0"
"111","false","150","1.2","3","3","1","10","100","1","3","20","1","0.5","559","0.17889087656529518","100","10","0"
"113","false","150","1.2","3","3","1","10","100","1","3","20","1","0.5","399","0.2506265664160401","100","10","0"
"115","false","150","1.2","3","3","1","10","100","1","3","20","1","0.5","241","0.4149377593360996","100","10","0"
"114","false","150","1.2","3","3","1","10","100","1","3","20","1","0.5","342","0.29239766081871343","100","10","0"
"116","false","150","1.2","3","3","1","10","100","1","3","20","1","0.7","300","0.3333333333333333","100","10","0"
"117","false","150","1.2","3","3","1","10","100","1","3","20","1","0.7","293","0.3412969283276451","100","10","0"
"118","false","150","1.2","3","3","1","10","100","1","3","20","1","0.7","369","0.27100271002710025","100","10","0"
"119","false","150","1.2","3","3","1","10","100","1","3","20","1","0.7","238","0.42016806722689076","100","10","0"
"121","false","150","1.2","3","3","1","10","100","1","3","20","1","1","470","0.2127659574468085","100","10","0"
"120","false","150","1.2","3","3","1","10","100","1","3","20","1","0.7","287","0.34843205574912894","100","10","0"
"122","false","150","1.2","3","3","1","10","100","1","3","20","1","1","327","0.3058103975535168","100","10","0"
"124","false","150","1.2","3","3","1","10","100","1","3","20","1","1","306","0.32679738562091504","100","10","0"
"125","false","150","1.2","3","3","1","10","100","1","3","20","1","1","439","0.22779043280182232","100","10","0"
"123","false","150","1.2","3","3","1","10","100","1","3","20","1","1","405","0.24691358024691357","100","10","0"
